epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,979.749,0.84449,2.23994,1.21888,0.5289,0.50843,0.54674,0.40681,0.85526,2.39057,1.25675,0.000410354,0.000410354,0.000410354
2,1864.11,0.91305,1.54558,1.24451,0.70852,0.60234,0.69007,0.47696,1.17763,2.16447,1.56524,0.000786083,0.000786083,0.000786083
3,2771.69,0.96177,1.4337,1.26213,0.61232,0.68561,0.66421,0.4501,1.07114,2.20231,1.47119,0.00112056,0.00112056,0.00112056
4,3746.38,0.95027,1.33814,1.26246,0.7892,0.72996,0.78155,0.53268,1.08912,1.88318,1.54981,0.00106437,0.00106437,0.00106437
5,4656.44,0.93496,1.23657,1.25095,0.90072,0.67122,0.83469,0.60411,1.15356,1.40974,1.61316,0.0010025,0.0010025,0.0010025
6,5491.51,0.88702,1.16043,1.22062,0.83952,0.76355,0.8156,0.59223,1.0908,1.30128,1.5522,0.000940625,0.000940625,0.000940625
7,6376.13,0.88822,1.06717,1.20992,0.80743,0.80063,0.86034,0.6258,1.0787,1.24031,1.65422,0.00087875,0.00087875,0.00087875
8,7239.63,0.8733,1.03872,1.20832,0.90282,0.80435,0.89691,0.66285,1.07316,0.98374,1.52388,0.000816875,0.000816875,0.000816875
9,8090.32,0.81984,0.96847,1.18107,0.86269,0.77845,0.86985,0.67351,1.01834,1.07322,1.46943,0.000755,0.000755,0.000755
10,8681.62,0.81804,0.91383,1.1721,0.88446,0.80886,0.90009,0.68433,0.88725,0.90828,1.25034,0.000693125,0.000693125,0.000693125
11,9418.21,0.79165,0.95997,1.17946,0.91725,0.82164,0.90095,0.68953,0.93289,0.91967,1.37423,0.00063125,0.00063125,0.00063125
12,10167.1,0.71808,0.8112,1.12106,0.89999,0.8208,0.89974,0.70516,0.97673,0.87942,1.46159,0.000569375,0.000569375,0.000569375
13,10926.7,0.67971,0.73919,1.10047,0.89679,0.85776,0.92648,0.73297,0.91292,0.76467,1.33532,0.0005075,0.0005075,0.0005075
14,11653.3,0.66012,0.68882,1.08625,0.928,0.82924,0.9201,0.73242,0.8944,0.78937,1.25932,0.000445625,0.000445625,0.000445625
15,12456.1,0.63257,0.63003,1.05844,0.9367,0.86031,0.93479,0.75858,0.84996,0.69383,1.30634,0.00038375,0.00038375,0.00038375
16,13175.7,0.60469,0.60732,1.03937,0.9189,0.8102,0.91098,0.73393,0.88161,0.73724,1.3942,0.000321875,0.000321875,0.000321875
17,14120.3,0.59033,0.56446,1.02751,0.95831,0.85097,0.94057,0.7614,0.79479,0.63639,1.27894,0.00026,0.00026,0.00026
18,14704.6,0.58486,0.54479,1.02249,0.95374,0.85546,0.92964,0.75973,0.83331,0.65262,1.30725,0.000198125,0.000198125,0.000198125
19,15275.5,0.55161,0.51476,1.00251,0.95449,0.83976,0.93639,0.77014,0.79964,0.6115,1.28773,0.00013625,0.00013625,0.00013625
20,15831.9,0.52251,0.47923,0.97582,0.9512,0.85578,0.93285,0.77219,0.78597,0.59708,1.2817,7.4375e-05,7.4375e-05,7.4375e-05
