epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.33274,1.50458,3.56361,1.87786,0.02201,1,0.11826,0.02883,1.58512,4.31208,2.39875,0,0,0
2,15.0187,1.65689,3.65003,2.08142,0.02215,1,0.11917,0.02888,1.61786,4.30865,2.42208,9.802e-06,9.802e-06,9.802e-06
3,22.5932,1.44812,3.46236,1.83713,0.02187,1,0.12487,0.03405,1.64017,4.32743,2.39184,1.9208e-05,1.9208e-05,1.9208e-05
4,29.4497,1.41587,3.49524,1.92317,0.02229,1,0.11324,0.03552,1.63047,4.36803,2.32909,2.8218e-05,2.8218e-05,2.8218e-05
5,36.6342,1.29111,3.54438,1.87003,0.01987,0.85714,0.11001,0.03667,1.65432,4.38802,2.30414,3.6832e-05,3.6832e-05,3.6832e-05
6,46.7594,1.15264,3.30333,1.62911,0.02055,0.85714,0.17408,0.0564,1.66333,4.46667,2.29028,4.505e-05,4.505e-05,4.505e-05
7,53.799,1.04429,3.29195,1.57485,0.02602,1,0.24026,0.07038,1.66588,4.48571,2.26802,5.2872e-05,5.2872e-05,5.2872e-05
8,61.3693,1.44529,3.49349,1.89822,0.02789,1,0.4857,0.17978,1.62197,4.42845,2.25013,6.0298e-05,6.0298e-05,6.0298e-05
9,68.9266,1.04931,3.25081,1.59545,0.02049,0.71429,0.56347,0.21031,1.5175,4.41155,2.2002,6.7328e-05,6.7328e-05,6.7328e-05
10,77.6363,0.93966,3.07583,1.42071,0.0211,0.71429,0.58454,0.26247,1.4343,4.33607,2.17586,7.3962e-05,7.3962e-05,7.3962e-05
11,88.0447,1.06459,3.11969,1.61049,0.02632,0.85714,0.59766,0.26861,1.32868,4.24561,2.19756,8.02e-05,8.02e-05,8.02e-05
12,97.8746,0.95024,2.92604,1.41717,0.03398,1,0.61597,0.28,1.19924,4.19352,2.13932,8.6042e-05,8.6042e-05,8.6042e-05
13,108.35,0.89478,2.89875,1.48206,0.03256,1,0.61793,0.29323,1.1226,4.15553,2.02882,9.1488e-05,9.1488e-05,9.1488e-05
14,116.775,0.95721,2.73359,1.42464,0.03302,1,0.63127,0.31498,1.12156,4.11214,1.97635,9.6538e-05,9.6538e-05,9.6538e-05
15,124.776,0.79403,2.50978,1.34706,0.03398,1,0.6492,0.36489,1.06914,4.10252,1.98767,0.000101192,0.000101192,0.000101192
16,133.92,0.98749,2.48672,1.54265,0.03431,1,0.67318,0.37516,1.011,4.01927,1.93102,0.00010545,0.00010545,0.00010545
17,142.204,0.70897,2.21109,1.32536,0.03535,1,0.69619,0.40398,0.91346,3.92126,1.86544,0.000109312,0.000109312,0.000109312
18,150.935,0.74079,2.18806,1.31808,0.03535,1,0.69619,0.40398,0.91346,3.92126,1.86544,0.000112778,0.000112778,0.000112778
19,159.157,0.84272,2.11717,1.37401,0.03784,1,0.70548,0.43748,0.80019,3.83362,1.73991,0.000115848,0.000115848,0.000115848
20,167.911,0.77037,2.07119,1.33603,0.03784,1,0.70548,0.43748,0.80019,3.83362,1.73991,0.000118522,0.000118522,0.000118522
21,176.4,0.86358,2.03169,1.36632,0.0407,1,0.72328,0.43541,0.70614,3.72617,1.62564,0.0001208,0.0001208,0.0001208
22,184.29,0.80498,1.85064,1.28117,0.0407,1,0.72328,0.43541,0.70614,3.72617,1.62564,0.000122682,0.000122682,0.000122682
23,192.391,0.79422,1.80909,1.24498,0.05109,1,0.76053,0.53019,0.63525,3.60408,1.54438,0.000124168,0.000124168,0.000124168
24,200.246,0.72035,1.69837,1.32318,0.05109,1,0.76053,0.53019,0.63525,3.60408,1.54438,0.000125258,0.000125258,0.000125258
25,209.016,0.72461,1.8911,1.22029,0.05385,1,0.86266,0.61867,0.57121,3.51696,1.46978,0.000125952,0.000125952,0.000125952
26,216.306,0.77806,1.70256,1.41024,0.05385,1,0.86266,0.61867,0.57121,3.51696,1.46978,0.00012625,0.00012625,0.00012625
27,224.062,0.72429,1.69982,1.31409,0.05932,1,0.96389,0.76448,0.52109,3.44412,1.397,0.000126152,0.000126152,0.000126152
28,233.443,0.67315,1.57152,1.40428,0.05932,1,0.96389,0.76448,0.52109,3.44412,1.397,0.000125658,0.000125658,0.000125658
29,243.548,0.64057,1.62944,1.13558,0.06542,1,0.995,0.85012,0.51385,3.36299,1.37194,0.000124768,0.000124768,0.000124768
30,252.337,0.57612,1.2963,1.17812,0.06542,1,0.995,0.85012,0.51385,3.36299,1.37194,0.000123482,0.000123482,0.000123482
31,260.569,0.59799,1.56963,1.16526,0.07692,1,0.995,0.90027,0.52065,3.31954,1.3761,0.0001218,0.0001218,0.0001218
32,269.103,0.70484,1.42146,1.29192,0.07692,1,0.995,0.90027,0.52065,3.31954,1.3761,0.000119722,0.000119722,0.000119722
33,276.445,0.68546,1.56624,1.30745,0.0814,1,0.9775,0.88918,0.51971,3.26834,1.36663,0.000117248,0.000117248,0.000117248
34,283.811,0.73491,1.41239,1.36504,0.0814,1,0.9775,0.88918,0.51971,3.26834,1.36663,0.000114378,0.000114378,0.000114378
35,291.39,0.70817,1.35104,1.26819,0.08537,1,0.96,0.87341,0.52689,3.17851,1.38505,0.000111112,0.000111112,0.000111112
36,300.051,0.6152,1.35111,1.15194,0.08537,1,0.96,0.87341,0.52689,3.17851,1.38505,0.00010745,0.00010745,0.00010745
37,308.559,0.69053,1.41082,1.2616,0.09459,1,0.9425,0.87305,0.53936,3.13264,1.39126,0.000103392,0.000103392,0.000103392
38,315.651,0.65874,1.23498,1.23102,0.09459,1,0.9425,0.87305,0.53936,3.13264,1.39126,9.8938e-05,9.8938e-05,9.8938e-05
39,322.858,0.65792,1.31314,1.28395,0.09722,1,0.92375,0.85247,0.55253,3.15283,1.3951,9.4088e-05,9.4088e-05,9.4088e-05
40,329.778,0.5432,1.19488,1.17545,0.09722,1,0.92375,0.85247,0.55253,3.15283,1.3951,8.8842e-05,8.8842e-05,8.8842e-05
41,337.156,0.78474,2.30303,1.44824,0.09333,1,0.90246,0.79272,0.56867,3.17312,1.42283,8.32e-05,8.32e-05,8.32e-05
42,344.444,0.67749,2.14525,1.34952,0.09333,1,0.90246,0.79272,0.56867,3.17312,1.42283,7.7162e-05,7.7162e-05,7.7162e-05
43,351.641,0.82125,2.03319,1.40347,0.09589,1,0.82742,0.72417,0.59417,3.22303,1.45204,7.0728e-05,7.0728e-05,7.0728e-05
44,358.07,1.1047,2.47761,1.84074,0.09589,1,0.82742,0.72417,0.59417,3.22303,1.45204,6.3898e-05,6.3898e-05,6.3898e-05
45,364.611,0.71357,2.018,1.3751,0.1,1,0.82742,0.70782,0.60293,3.27483,1.46768,5.6672e-05,5.6672e-05,5.6672e-05
46,371.514,0.72334,2.06406,1.49034,0.1,1,0.82742,0.70782,0.60293,3.27483,1.46768,4.905e-05,4.905e-05,4.905e-05
47,378.101,1.12251,2.84855,1.85818,0.09722,1,0.82,0.70776,0.60614,3.25307,1.48099,4.1032e-05,4.1032e-05,4.1032e-05
48,384.788,0.76202,2.52766,1.5216,0.09722,1,0.82,0.70776,0.60614,3.25307,1.48099,3.2618e-05,3.2618e-05,3.2618e-05
49,391.659,0.61078,1.97243,1.35387,0.09333,1,0.813,0.72614,0.57934,3.19708,1.4568,2.3808e-05,2.3808e-05,2.3808e-05
50,398.488,0.69333,1.91618,1.23204,0.09333,1,0.813,0.72614,0.57934,3.19708,1.4568,1.4602e-05,1.4602e-05,1.4602e-05
