epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.49126,2.9494,4.40949,2.68173,0.0082,1,0.11056,0.05452,2.00648,5.7487,1.69305,0,0,0
2,12.7665,2.68761,4.08836,2.54949,0.00826,1,0.11056,0.05844,1.60932,5.91251,1.60124,1.63399e-05,1.63399e-05,1.63399e-05
3,19.3674,2.64286,4.26451,2.63334,0.00781,1,0.11056,0.05528,2.02097,5.08153,1.73307,3.20197e-05,3.20197e-05,3.20197e-05
4,25.7804,2.54336,4.09501,2.25238,0.00794,1,0.11056,0.06633,2.16436,4.72477,1.72598,4.70394e-05,4.70394e-05,4.70394e-05
5,32.3897,2.38734,4.32407,2.33178,0.008,1,0.11056,0.06633,2.28323,4.69265,1.81395,6.13989e-05,6.13989e-05,6.13989e-05
6,38.6456,2.67997,4.01786,2.35258,0.00775,1,0.199,0.08955,2.38725,4.50232,1.82766,7.50984e-05,7.50984e-05,7.50984e-05
7,46.5762,2.49472,3.95112,2.22391,0.00763,1,0.24875,0.13859,2.36664,4.21621,1.771,8.81376e-05,8.81376e-05,8.81376e-05
8,52.7775,2.58689,3.80667,2.19931,0.00758,1,0.24875,0.17413,2.06641,4.82852,1.63311,0.000100517,0.000100517,0.000100517
9,58.9427,1.91362,3.93132,1.84865,0.00752,1,0.4975,0.2985,1.76376,5.11608,1.53038,0.000112236,0.000112236,0.000112236
10,64.7158,1.92871,3.47576,1.88641,0.00752,1,0.995,0.46433,1.7064,5.12005,1.51355,0.000123295,0.000123295,0.000123295
11,72.444,2.21539,3.60093,2.07687,0.00746,1,0.995,0.46433,1.78994,4.91525,1.51522,0.000133693,0.000133693,0.000133693
12,78.6109,1.82052,3.25024,1.70825,0.00746,1,0.995,0.4975,1.7605,4.76443,1.52586,0.000143432,0.000143432,0.000143432
13,84.4019,1.70458,3.24288,1.60229,0.00763,1,0.995,0.44775,1.69364,4.70694,1.46497,0.00015251,0.00015251,0.00015251
14,90.2573,2.12181,3.30713,2.02834,0.00769,1,0.995,0.6965,1.57586,4.53902,1.35715,0.000160929,0.000160929,0.000160929
15,96.9069,1.6466,2.71851,1.58882,0.00763,1,0.995,0.597,1.77287,4.44308,1.37709,0.000168687,0.000168687,0.000168687
16,102.899,1.75919,2.89467,1.6997,0.00833,1,0.995,0.4975,1.81956,4.24378,1.38941,0.000175785,0.000175785,0.000175785
17,109.036,1.63975,2.57416,1.73021,0.0082,1,0.995,0.4975,1.67841,4.21746,1.33832,0.000182223,0.000182223,0.000182223
18,116.528,1.71124,3.0689,1.66076,0.0082,1,0.995,0.4975,1.67841,4.21746,1.33832,0.000188001,0.000188001,0.000188001
19,123.044,1.89044,2.37478,1.74879,0.00877,1,0.995,0.4975,1.51272,4.38024,1.30627,0.000193119,0.000193119,0.000193119
20,129,1.83161,2.71236,1.68276,0.00877,1,0.995,0.4975,1.51272,4.38024,1.30627,0.000197576,0.000197576,0.000197576
21,135.493,1.56493,2.57681,1.58829,0.00901,1,0.995,0.53067,1.62199,4.25712,1.30862,0.000201374,0.000201374,0.000201374
22,142.124,1.73864,2.43401,1.65745,0.00901,1,0.995,0.53067,1.62199,4.25712,1.30862,0.000204511,0.000204511,0.000204511
23,147.736,1.68071,2.60328,1.51249,0.00893,1,0.995,0.56383,1.69201,4.1118,1.33813,0.000206988,0.000206988,0.000206988
24,153.37,1.64238,2.37407,1.55639,0.00893,1,0.995,0.56383,1.69201,4.1118,1.33813,0.000208805,0.000208805,0.000208805
25,159.013,1.67621,2.36858,1.57016,0.00877,1,0.995,0.53067,1.71865,3.97494,1.35798,0.000209962,0.000209962,0.000209962
26,164.877,1.58452,2.37736,1.48815,0.00877,1,0.995,0.53067,1.71865,3.97494,1.35798,0.000210459,0.000210459,0.000210459
27,170.898,1.61043,2.17645,1.62246,0.00926,1,0.995,0.6965,1.66243,3.74182,1.34668,0.000210295,0.000210295,0.000210295
28,176.412,1.43189,2.0185,1.42957,0.00926,1,0.995,0.6965,1.66243,3.74182,1.34668,0.000209472,0.000209472,0.000209472
29,182.373,1.55974,2.28275,1.53236,0.00909,1,0.995,0.796,1.47293,3.94729,1.31096,0.000207988,0.000207988,0.000207988
30,187.916,1.18646,1.96331,1.30737,0.00909,1,0.995,0.796,1.47293,3.94729,1.31096,0.000205844,0.000205844,0.000205844
31,193.765,1.5776,2.30884,1.47163,0.00909,1,0.995,0.6965,1.6479,3.63439,1.33665,0.000203041,0.000203041,0.000203041
